4200,"PARTS OF AGRICULTURAL MACHINES, PARTS OF RAILWAY CARS, PARTS OF AUTOMOBILES, PARTS OF MOTORSCOOTERS,PARTS OF MOTORCYLES, PARTS OF BICYCLES, PARTS OF MOTOR SLEIGHS, LAMPSHIELDS, HORNS, SIRENS, VISORS, SPOTLAMPS, FLASHING LIGHTS, WHEELCAPS, MIRRORS, ASHTRAYS, FLOOR MATS, STEERING WHEEL COVERS, INSTRUMENT SETS, INSTRUMENT PANELS, KEYLESS IGNITION SWITCHES, SAFETY LOCKS, JACKS, WINDSHIELD WASHERS, AIR CONDITIONERS, SEAT BELTS, SEAT COVERS, TYRE CHAINS, TYRE STUDS, PETROL CAPS, BUMPER GUARDS, LUGGAGE RACKS, SKI RACKS, BACK RESTS, BABY SEATS, HEAD CUSHIONS, AUTOMOBILE LIGHTERS, WIND DEFLECTORS"
4201,"SURFACE VEHICLES (EXCLUDING STEAMSHIP PARTS, MOTORSHIP PARTS)"
4203,"SURFACE VEHICLES (INCLUDING ACCESSORIES) EXCLUDING STEAMSHIP PARTS, MOTORSHIP PARTS, AGRICULTURAL MACHINE PARTS, RAILWAY CAR PARTS"
4206,SURFACE VEHICLE PARTS EXCLUDING STEAMSHIP AND/OR MOTORSHIP MACHINE PARTS
4209,"SURFACE VEHICLES, SELF-PROPELLED AGRICULTURAL MACHINERY - INCLUDING ACCESSORIES - EXCLUDING STEAMSHIP PARTS, MOTORSHIP PARTS"
4211,"PARTS OF AUTOMOBILES (INCLUDING ACCESSORIES), AUTOMOBILE REPAIR EQUIPMENT"
4214,AUTOMOBILES
4228,"MOTORCYCLES, MOTORSCOOTERS, BICYCLES - BOXED -"
4232,"PARTS OF AUTOMOBILES (INCLUDING ACCESSORIES), MOTORSCOOTERS, MOTORCYCLES, BICYCLES, AGRICULTURAL MACHINES"
4235,"MOTORSCOOTERS, MOTORCYCLES, CYCLES, PARTS OF SURFACE VEHICLES (INCLUDING ACCESSORIES), PARTS OF SELF-PROPELLED AGRICULTURAL MACHINERY (INCLUDING ACCESSORIES) EXCLUDING STEAMSHIP PARTS, MOTORSHIP PARTS"
4242,AUTOMOBILE TEMPERATURE GAUGES
4246,BRAKE LININGS
4248,FANBELTS
4266,PARTS FOR SPORTING BOATS (INCLUDING ACCESSORIES)
4291,FILTERS FOR AGRICULTURAL MACHINES
4300,OFFICE MACHINERY
4302,"DATA PROCESSING EQUIPMENT, OFFICE MACHINERY, - INCLUDING ACCESSORIES, SUPPLIES -"
