unid,var,nameADR,qdtADR,ccodeADR,classADR,labelADR,pgADR,lqADR,sprovADR,eqADR,piADR,mixpADR,ppADR,tiADR,adrtADR,tpADR,adrtpADR,tankvADR,tcatADR,pprovADR,bprovADR,lprovADR,oprovADR,hinADR
3185,b,"SELF-HEATING LIQUID, CORROSIVE, ORGANIC, N.O.S.",,SC1,4.2,4.2+8,III,0,274,E1,P001 IBC02 R001,MP15,,,L4DH,,TU14 TE21,AT,3 (E),V1,,,,38
3186,a,"SELF-HEATING LIQUID, INORGANIC, N.O.S.",,S3,4.2,4.2,II,0,274,E2,P001 IBC02,MP15,,,L4DH,,TU14 TE21,AT,2 (D/E),V1,,,,30
3186,b,"SELF-HEATING LIQUID, INORGANIC, N.O.S.",,S3,4.2,4.2,III,0,274,E1,P001 IBC02 R001,MP15,,,L4DH,,TU14 TE21,AT,3 (E),V1,,,,30
3187,a,"SELF-HEATING LIQUID, TOXIC, INORGANIC, N.O.S.",,ST3,4.2,4.2+6.1,II,0,274,E2,P402 IBC02,MP15,,,L4DH,,TU14 TE21,AT,2 (D/E),V1,,CV28,,36
3187,b,"SELF-HEATING LIQUID, TOXIC, INORGANIC, N.O.S.",,ST3,4.2,4.2+6.1,III,0,274,E1,P001 IBC02 R001,MP15,,,L4DH,,TU14 TE21,AT,3 (E),V1,,CV28,,36
3188,a,"SELF-HEATING LIQUID, CORROSIVE, INORGANIC, N.O.S.",,SC3,4.2,4.2+8,II,0,274,E2,P402 IBC02,MP15,,,L4DH,,TU14 TE21,AT,2 (D/E),V1,,,,38
3188,b,"SELF-HEATING LIQUID, CORROSIVE, INORGANIC, N.O.S.",,SC3,4.2,4.2+8,III,0,274,E1,P001 IBC02 R001,MP15,,,L4DH,,TU14 TE21,AT,3 (E),V1,,,,38
3189,a,"METAL POWDER, SELF-HEATING, N.O.S.",,S4,4.2,4.2,II,0,274 555,E2,P410 IBC06,MP14,,T3,SGAN,TP33,,AT,2 (D/E),V1,,,,40
3189,b,"METAL POWDER, SELF-HEATING, N.O.S.",,S4,4.2,4.2,III,0,274 555,E1,P002 IBC08 LP02 R001,MP14,B3,T1,SGAN,TP33,,AT,3 (E),V1,VC1 VC2 AP1,,,40
3190,a,"SELF-HEATING SOLID, INORGANIC, N.O.S.",,S4,4.2,4.2,II,0,274,E2,P410 IBC06,MP14,,T3,SGAN,TP33,,AT,2 (D/E),V1,,,,40
3190,b,"SELF-HEATING SOLID, INORGANIC, N.O.S.",,S4,4.2,4.2,III,0,274,E1,P002 IBC08 LP02 R001,MP14,B3,T1,SGAN,TP33,,AT,3 (E),V1,VC1 VC2 AP1,,,40
3191,a,"SELF-HEATING SOLID, TOXIC, INORGANIC, N.O.S.",,ST4,4.2,4.2+6.1,II,0,274,E2,P410 IBC05,MP14,,T3,SGAN,TP33,,AT,2 (D/E),V1,,CV28,,46
