"","Aerosols, non-flammable, containing substances in Class 8, Packing Group I",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINCLASSPACKINGGROUPI","","hand.gif","","","","","",46761
"1950","Aerosols, non-flammable, containing substances in Class 8, Packing Group II",0,0,0,"","","2.2","8","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","2C","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINCLASSPACKINGGROUPII22","Aerosols, non-flammable, containing substances in Class 8, Packing Group II","hand.gif","","RNG","RCM","","",19351
"1950","Aerosols, non-flammable, containing substances in Class 8, Packing Group III",0,0,0,"","","2.2","8","Non-flamm. gas;Corrosive","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","2C","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINCLASSPACKINGGROUPIII22","Aerosols, non-flammable, containing substances in Class 8, Packing Group III","hand.gif","E0","RNG","RCM","","",19361
"","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group I",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPI","","hand.gif","","","","","",46771
"1950","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group II",0,0,0,"","","2.2","6.1","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","2P","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPII22","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group II","hand.gif","","RNG","RPB","","",19331
"1950","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III",0,0,0,"","","2.2","6.1","Non-flamm. gas;Toxic","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","2P","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPIII22","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III","hand.gif","E0","RNG","RPB","","",19341
"1950","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III",0,0,0,"","","2.2","6.1 8","Non-flamm. gas;Toxic;Corrosive","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","2CP","AEROSOLSNONFLAMMABLECONTAININGSUBSTANCESINDIVISIONPACKINGGROUPIIIANDSUBSTANCESINCLASSPACKINGGROUPIII22","Aerosols, non-flammable, containing substances in Division 6.1, Packing Group III and substances in Class 8, Packing Group III","hand.gif","E0","RNG","RPB","RCM","",19371
"1950","Aerosols, non-flammable, containing toxic gas",0,0,0,"","","2.3","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","2P","AEROSOLSNONFLAMMABLECONTAININGTOXICGAS23","Aerosols, non-flammable, containing toxic gas","hand.gif","","RPG","","","",19391
"1950","Aerosols, non-flammable, oxidizing",0,0,0,"","","2.2","5.1","Non-flamm. gas;Oxidizer","","Forbidden","Forbidden","203","75 kg","203","150 kg","A145;A167;A802","2X","AEROSOLSNONFLAMMABLEOXIDIZING22","Aerosols, non-flammable, oxidizing","hand.gif","E0","RNG","ROX","","",49371
"1950","Aerosols, non-flammable (tear gas devices)",0,0,0,"","","2.2","6.1","Non-flamm. gas;Toxic","","Forbidden","Forbidden","Forbidden","Forbidden","203","50 kg","A1;A145;A167;A802","2P","AEROSOLSNONFLAMMABLETEARGASDEVICES22","Aerosols, non-flammable (tear gas devices)","hand.gif","E0","RNG","RPB","","AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01",19401
"0331","Agent, blasting type B",0,1,0,"","","1.5D","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","1L","AGENTBLASTINGTYPEB15D","Agent, blasting type B","","","REX","","","",46591
"0332","Agent, blasting type E",0,1,0,"","","1.5D","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","1L","AGENTBLASTINGTYPEE15D","Agent, blasting type E","","","REX","","","",46601
"","Air bag inflators",0,0,0,"","Safety devices, pyrotechnic (UN0503);Safety devices (UN3268)","","","","","","","","","","","","","AIRBAGINFLATORS","","","","","","","",58241
"","Air bag modules",0,0,0,"","Safety devices, pyrotechnic (UN0503);Safety devices (UN3268)","","","","","","","","","","","","","AIRBAGMODULES","","","","","","","",58791
"1002","Air, compressed",0,0,0,"","","2.2","","Non-flamm. gas","","Forbidden","Forbidden","200","75 kg","200","150 kg","A221;A302","2L","AIRCOMPRESSED22","Air, compressed","","E1","RNG","","","",5621
"","Aircraft",0,0,0,"","Vehicle, flammable liquid powered (UN3166);Vehicle, flammable gas powered (UN3166)","","","","","","","","","","","","","AIRCRAFT","","","","","","","",44891
"","Aircraft engines (including turbines)",0,0,0,"","Engine, internal combustion, flammable liquid powered (UN3528);Engine, internal combustion, flammable gas powered (UN3529);Engine, internal combustion (UN3530)","","","","","","","","","","","","","AIRCRAFTENGINESINCLUDINGTURBINES","","","","","","","",44901
"","Aircraft evacuation slides",0,0,0,"","Life-saving appliances, self-inflating (UN2990)","","","","","","","","","","","","","AIRCRAFTEVACUATIONSLIDES","","","","","","","",32021
"3165","Aircraft hydraulic power unit fuel tank",0,0,0,"(containing a mixture of anhydrous hydrazine and methyl hydrazine) (M86 fuel)","","3","6.1 8","Flamm. liquid;Toxic;Corrosive;Package orientation","","Forbidden","Forbidden","Forbidden","Forbidden","372","42 L","A1;A48","3CP","AIRCRAFTHYDRAULICPOWERUNITFUELTANK3CONTAININGAMIXTUREOFANHYDROUSHYDRAZINEANDMETHYLHYDRAZINEM86FUEL","Aircraft hydraulic power unit fuel tank","changed","E0","RFL","RPB","RCM","AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01",33921
"","Aircraft survival kits",0,0,0,"","Life-saving appliances, self-inflating (UN2990);Life-saving appliances, not self-inflating (UN3072)","","","","","","","","","","","","","AIRCRAFTSURVIVALKITS","","","","","","","",32041
"1003","Air, refrigerated liquid",0,0,0,"","","2.2","5.1","Non-flamm. gas;Oxidizer;Package orientation;Cryogenic liquid;Package orientation","","Forbidden","Forbidden","Forbidden","Forbidden","202","150 kg","A1","2X","AIRREFRIGERATEDLIQUID22","Air, refrigerated liquid","","E0","RNG","ROX","RCL","AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01",5631
"3274","Alcoholates solution",1,0,1,"in alcohol","","3","8","Flamm. liquid;Corrosive;Package orientation","II","Y340","0.5 L","352","1 L","363","5 L","","3C","ALCOHOLATESSOLUTION3INALCOHOL","Alcoholates solution","","E2","RFL","RCM","","",35441
"","Alcohol, denatured",0,0,0,"","Alcohols, flammable, toxic (UN1986);Alcohols (UN1987)","","","","","","","","","","","","","ALCOHOLDENATURED","","","","","","","",20231
"3065","Alcoholic beverages",0,0,0,"containing 70% or less but more than 24% of alcohol by volume, in receptacles, each having capacities of more than 5 Litres","","3","","Flamm. liquid;Package orientation","III","Y344","10 L","355","60 L","366","220 L","A9;A58","3L","ALCOHOLICBEVERAGES3CONTAINING70ORLESSBUTMORETHAN24OFALCOHOLBYVOLUMEINRECEPTACLESEACHHAVINGCAPACITIESOFMORETHAN5LITRES","Alcoholic beverages","","E1","RFL","","","",32681
"3065","Alcoholic beverages",0,0,0,"containing more than 70% alcohol by volume","","3","","Flamm. liquid;Package orientation","II","Y341","1 L","353","5 L","364","60 L","","3L","ALCOHOLICBEVERAGES3CONTAININGMORETHAN70ALCOHOLBYVOLUME","Alcoholic beverages","","E2","RFL","","","",32691
