unno,var,nameRID,ClassRID,CCodeRID,pgRID,LabRID,spRID,lqRID,eqRID,piRID,ppRID,MixRID,tiRID,tpRID,trRID,sptRID,catRID,sppRID,spbRID,splRID,colisRID,hinRID,qdt
2779,c,"SUBSTITUTED NITROPHENOL PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2780,a,"SUBSTITUTED NITROPHENOL PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2780,b,"SUBSTITUTED NITROPHENOL PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2781,a,"BIPYRIDILIUM PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2781,b,"BIPYRIDILIUM PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2781,c,"BIPYRIDILIUM PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2782,a,"BIPYRIDILIUM PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2782,b,"BIPYRIDILIUM PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2783,a,"ORGANOPHOSPHORUS PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2783,b,"ORGANOPHOSPHORUS PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2783,c,"ORGANOPHOSPHORUS PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2784,a,"ORGANOPHOSPHORUS PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2784,b,"ORGANOPHOSPHORUS PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2785,,4-THIAPENTANAL,6.1,T1,III,6.1,,5 L,E1,P001 IBC03 LP01 R001,,MP19,T4,TP1,L4BH,TU15,2,W12,,CW13 CW28 CW31,CE8,60,
2786,a,"ORGANOTIN PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2786,b,"ORGANOTIN PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2786,c,"ORGANOTIN PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2787,a,"ORGANOTIN PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2787,b,"ORGANOTIN PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
