unid,var,nameJTT_EN,qdtJTT_EN,nameJTT_ZH,qdtJTT_ZH,ccodeJTT,classJTT,labelJTT,pgJTT,lqJTT,sprovJTT,eqJTT,piJTT,mixpJTT,ppJTT,tiJTT,adrtJTT,tpJTT,adrtpJTT,tankvJTT,tcatJTT,pprovJTT,bprovJTT,lprovJTT,oprovJTT,hintJTT
2929,b,"TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.",,"有毒液体,易燃的,有机的,未另作规定的",,TF1,6.1,6.1+3,II,100mL,274,E4,P001 IBC02,MP15,,T11,L4BH,TP2 TP27,TU15 TE19,FL,2 (D/E),,,CV13 CV28,S2 S9 S19,63
2930,a,"TOXIC SOLID, FLAMMABLE, ORGANIC, N.O.S.",,"有毒固体,易燃的,有机的,未另作规定的",,TF3,6.1,6.1+4.1,I,0,274,E5,P002 IBC05,MP18,,T6,,TP33,,AT,1 (C/E),V10,,CV1 CV13 CV28,S9 S14,664
2930,b,"TOXIC SOLID, FLAMMABLE, ORGANIC, N.O.S.",,"有毒固体,易燃的,有机的,未另作规定的",,TF3,6.1,6.1+4.1,II,500g,274,E4,P002 IBC08,MP10,B4,T3,SGAH L4BH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,64
2931,,VANADYL SULPHATE,,硫酸氧钒,,T5,6.1,6.1,II,500g,,E4,P002 IBC08,MP10,B4,T3,SGAH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,60
2933,,METHYL 2-CHLORO-PROPIONATE,,2-氯丙酸甲酯,,F1,3,3,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
2934,,ISOPROPYL 2-CHLORO-PROPIONATE,,2-氯丙酸异丙酯,,F1,3,3,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
2935,,ETHYL 2-CHLOROPROPIONATE,,2-氯丙酸乙酯,,F1,3,3,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
2936,,THIOLACTIC ACID,,硫羟乳酸,,T1,6.1,6.1,II,100mL,,E4,P001 IBC02,MP15,,T7,L4BH,TP2,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
2937,,"alpha-METHYLBENZYL ALCOHOL, LIQUID",,"a-甲基苄基醇,液体的",,T1,6.1,6.1,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T4,L4BH,TP1,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
2940,a,9-PHOSPHABICYCLONONANES,,9-磷杂二环壬烷类(环辛二烯膦类),,S2,4.2,4.2,II,0,,E2,P410 IBC06,MP14,,T3,SGAN,TP33,,AT,2 (D/E),V1,,,,40
2940,b,CYCLOOCTADIENE PHOSPHINES,,9-磷杂二环壬烷类(环辛二烯膦类),,S2,4.2,4.2,II,0,,E2,P410 IBC06,MP14,,T3,SGAN,TP33,,AT,2 (D/E),V1,,,,40
2941,,FLUOROANILINES,,氟苯胺类,,T1,6.1,6.1,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T4,L4BH,TP1,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
2942,,2-TRIFLUOROMETHYLANILINE,,2-三氟甲基苯胺,,T1,6.1,6.1,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,,L4BH,,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
2943,,TETRAHYDROFURFURYLAMINE,,四氢化糠胺,,F1,3,3,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
2945,,N-METHYLBUTYLAMINE,,N-甲基丁胺,,FC,3,3+8,II,1L,,E2,P001 IBC02,MP19,,T7,L4BH,TP1,,FL,2 (D/E),,,,S2 S20,338
2946,,2-AMINO-5-DIETHYLAMINO-PENTANE,,2-氨基-5-二乙基氨基戊烷,,T1,6.1,6.1,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T4,L4BH,TP1,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
2947,,ISOPROPYL CHLOROACETATE,,氯乙酸异丙酯,,F1,3,3,III,5L,,E1,P001 IBC03 LP01 R001,MP19,,T2,LGBF,TP1,,FL,3 (D/E),V12,,,S2,30
2948,,3-TRIFLUOROMETHYLANILINE,,3-三氟甲基苯胺,,T1,6.1,6.1,II,100mL,,E4,P001 IBC02,MP15,,T7,L4BH,TP2,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
2949,,"SODIUM HYDROSULPHIDE, HYDRATED",with not less than 25% water of crystallization,"硫氢化钠,水合物",含结晶水不低于25%,C6,8,8,II,1kg,523,E2,P002 IBC08,MP10,B4,T7,SGAN L4BN,TP2,,AT,2 (E),V11,,,,80
2950,,"MAGNESIUM GRANULES, COATED",particle size not less than 149,"镁粒,经涂层的",粒径不小于149pm,W2,4.3,4.3,III,1kg,,E1,P410 IBC08 R001,MP14,B4,T1 BK2,SGAN,TP33,,AT,3 (E),V1,VC2 AP4 AP5,CV23,,423
2956,a,"5-tert-BUTYL-2, 4, 6-TRINITRO-m-XYLENE",,"5-叔丁基-2, 4,6-三硝基间二甲苯(二甲苯麝香)",,SR1,4.1,4.1,III,5kg,638,E0,P409,MP2,,,,,,,3 (D),,,CV14,S24,
2956,b,MUSKXYLENE,,二甲苯麝香,,SR1,4.1,4.1,III,5kg,638,E0,P409,MP2,,,,,,,3 (D),,,CV14,S24,
2965,,BORON TRIFLUORIDE DIMETHYL ETHERATE,,三氟化硼合二甲醚,,WFC,4.3,4.3+3+8,I,0,,E0,P401,MP2,,T10,L10DH,TP2 TP7,TU4 TU14 TU22 TE21 TM2,FL,0 (B/E),V1,,CV23,S2 S20,382
2966,,THIOGLYCOL,,硫甘醇,,T1,6.1,6.1,II,100mL,,E4,P001 IBC02,MP15,,T7,L4BH,TP2,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
2967,,SULPHAMIC ACID,,氨基磺酸,,C2,8,8,III,5kg,,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2 AP7,,,80
2968,a,"MANEB, STABILIZED",against self-heating,"代森锰,稳定的",防自热的,W2,4.3,4.3,III,1kg,547,E1,P002 IBC08 R001,MP14,B4,T1,SGAN,TP33,,AT,0 (E),V1,VC1 VC2 AP3 AP4 AP5,CV23,,423
2968,b,"MANEB PREPARATION, STABILIZED",against self-heating,"代森锰制品,稳定的",防自热的,W2,4.3,4.3,III,1kg,547,E1,P002 IBC08 R001,MP14,B4,T1,SGAN,TP33,,AT,0 (E),V1,VC1 VC2 AP3 AP4 AP5,CV23,,423
2969,a,CASTOR BEANS,,蓖麻籽,,M11,9,9,II,5kg,141,E2,P002 IBC08,MP10,PP34 B4,T3 BK1 BK2,SGAV,TP33,,AT,2 (E),V11,VC1 VC2,,,90
2969,b,CASTOR MEAL,,蓖麻片,,M11,9,9,II,5kg,141,E2,P002 IBC08,MP10,PP34 B4,T3 BK1 BK2,SGAV,TP33,,AT,2 (E),V11,VC1 VC2,,,90
2969,c,CASTOR POMACE,,蓖麻粉,,M11,9,9,II,5kg,141,E2,P002 IBC08,MP10,PP34 B4,T3 BK1 BK2,SGAV,TP33,,AT,2 (E),V11,VC1 VC2,,,90
2969,d,CASTOR FLAKE,,蓖麻油渣,,M11,9,9,II,5kg,141,E2,P002 IBC08,MP10,PP34 B4,T3 BK1 BK2,SGAV,TP33,,AT,2 (E),V11,VC1 VC2,,,90
2977,,"RADIOACTIVE MATERIAL, URANIUM HEX-AFLUORIDE, FISSILE",,"放射性物质,六氟化铀,可裂变的",,,7,7X+7E+8,,0,,E0,,,,,,,,,0 (C),,,CV33,S6 S11 S21,78
2978,,"RADIOACTIVE MATERIAL, URANIUMHEXA-FLUORIDE",non-fissile or fissile-excepted,"放射性物质,六氟化铀",非裂变或例外的可裂变,,7,7X+8,,0,317,E0,,,,,,,,,0 (C),,,CV33,S6 S11 S21,78
2983,,ETHYLENE OXIDE AND PROPYLENE-OXIDE MIXTURE,not more than 30% ethylene oxide,环氧乙烷(氧化乙烯)和氧化丙烯混合物,环氧乙烷 (氧化乙烯) 不超过30%,FT1,3,3+6.1,I,0,,E0,P001,MP7 MP17,,T14,L10CH,TP2 TP7,TU14 TU15 TE21,FL,1 (C/E),,,CV13 CV28,S2 S22,336
2984,,"HYDROGEN PEROXIDE, AQUEOUS SOLUTION",with not less than 8% but less than 20% hydrogen peroxide (stabilized as necessary),过氧化氢水溶液,"含过氧化氢不少于8%,但少于 20%(必要时加稳定剂)",O1,5.1,5.1,III,5L,65,E1,P504 IBC02 R001,MP15,PP10 B5,T4,LGBV,TP1 TP6 TP24,TU3 TC2 TE8 TE11 TT1,AT,3 (E),,,CV24,,50
2985,,"CHLOROSILANES, FLAMMABLE, CORROSIVE, N.O.S.",,"氯硅烷类,易燃的,腐蚀的,未另作规定的",,FC,3,3+8,II,0,548,E0,P010,MP19,,T14,L4BH,TP2 TP7 TP27,,FL,2 (D/E),,,,S2 S20,X338
2986,,"CHLOROSILANES, CORROSIVE, FLAMMABLE, N.O.S.",,"氯硅烷类,腐蚀的,易燃的,未另作规定的",,CF1,8,8+3,II,0,548,E0,P010,MP15,,T14,L4BN,TP2 TP7 TP27,,FL,2 (D/E),,,,S2,X83
2987,,"CHLOROSILANES, CORROSIVE, N.O.S.",,"氯硅烷类,腐蚀的,未另作规定的",,C3,8,8,II,0,548,E0,P010,MP15,,T14,L4BN,TP2TP7 TP27,,AT,2 (E),,,,,X80
2988,,"CHLOROSILANES, WATER-REACTIVE, FLAMMABLE, CORROSIVE, N.O.S.",,"氯硅烷类,遇水反应,易燃的,腐蚀的,未另作规定的",,WFC,4.3,4.3+3+8,I,0,549,E0,P401,MP2,RR7,T14,L10DH,TP2 TP7,TU14 TU26 TE21 TM2 TM3,FL,0 (B/E),V1,,CV23,S2 S20,X338
2989,a,"LEAD PHOSPHITE, DIBASIC",,亚磷酸二氢铅(二盐基亚磷酸铅),,F3,4.1,4.1,II,1kg,,E2,P002 IBC08,MP11,B4,T3,SGAN,TP33,,AT,2 (E),V11,,,,40
2989,b,"LEAD PHOSPHITE, DIBASIC",,亚磷酸二氢铅(二盐基亚磷酸铅),,F3,4.1,4.1,III,5kg,,E1,P002 IBC08 LP02 R001,MP11,B3,T1,SGAV,TP33,,AT,3 (E),,VC1 VC2,,,40
2990,,"LIFE-SAVING APPLIANCES, SELF-INFLATING",,"救生设备,自动膨胀式",,M5,9,9,,0,296 635,E0,P905,,,,,,,,3 (E),,,,,
2991,a,"CARBAMATE PESTICIDE, LIQUID, TOXIC, FLAMMABLE",flash-point not less than 23°C,"氨基甲酸酯农药,液体的,有毒的,易燃的",闪点不低于23°C,TF2,6.1,6.1+3,I,0,61 274,E5,P001,MP8 MP17,,T14,L10CH,TP2 TP27,TU14 TU15 TE19 TE21,FL,1 (C/E),,,CV1 CV13 CV28,S2 S9 S14,663
2991,b,"CARBAMATEPE STICIDE, LIQUID, TOXIC, FLAMMABLE",flash-point not less than 23°C,"氨基甲酸酯农药,液体的,有毒的,易燃的",闪点不低于23°C,TF2,6.1,6.1+3,II,100mL,61 274,E4,P001 IBC02,MP15,,T11,L4BH,TP2 TP27,TU15 TE19,FL,2 (D/E),,,CV13 CV28,S2 S9 S19,63
2991,c,"CARBAMATE PESTICIDE, LIQUID, TOXIC, FLAMMABLE",flash-point not less than 23°C,"氨基甲酸酯农药,液体的,有毒的,易燃的",闪点不低于23°C,TF2,6.1,6.1+3,III,5L,61 274,E1,P001 IBC03 R001,MP19,,T7,L4BH,TP2 TP28,TU15 TE19,FL,2 (D/E),V12,,CV13 CV28,S2 S9,63
2992,a,"CARBAMATE PESTICIDE, LIQUID,TOXIC",,"氨基甲酸酯农药,液体的,有毒的",,T6,6.1,6.1,I,0,61 274 648,E5,P001,MP8 MP17,,T14,L10CH,TP2 TP27,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,66
2992,b,"CARBAMATE PESTICIDE, LIQUID,TOXIC",,"氨基甲酸酯农药,液体的,有毒的",,T6,6.1,6.1,II,100mL,61 274 648,E4,P001 IBC02,MP15,,T11,L4BH,TP2 TP27,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
2992,c,"CARBAMATE PESTICIDE, LIQUID,TOXIC",,"氨基甲酸酯农药,液体的,有毒的",,T6,6.1,6.1,III,5L,61 274 648,E1,P001 IBC03 LP01 R001,MP19,,T7,L4BH,TP2 TP28,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
2993,a,"ARSENICAL PESTICIDE, LIQUID, TOXIC, FLAMMABLE",flash-point not less than 23°C,"含砷农药,液体的,有毒的","易燃的,闪点不低于23°C",TF2,6.1,6.1+3,I,0,61 274,E5,P001,MP8 MP17,,T14,L10CH,TP2 TP27,TU14 TU15 TE19 TE21,FL,1 (C/E),,,CV1 CV13 CV28,S2 S9 S14,663
2993,b,"ARSENICAL PESTICIDE, LIQUID, TOXIC, FLAMMABLE",flash-point not less than 23°C,"含砷农药,液体的,有毒的","易燃的,闪点不低于23°C",TF2,6.1,6.1+3,II,100mL,61 274,E4,P001 IBC02,MP15,,T11,L4BH,TP2 TP27,TU15 TE19,FL,2 (D/E),,,CV13 CV28,S2 S9 S19,63
2993,c,"ARSENICAL PESTICIDE, LIQUID, TOXIC, FLAMMABLE",flash-point not less than 23°C,"含砷农药,液体的,有毒的","易燃的,闪点不低于23°C",TF2,6.1,6.1+3,III,5L,61 274,E1,P001 IBC03 R001,MP19,,T7,L4BH,TP2 TP28,TU15 TE19,FL,2 (D/E),V12,,CV13 CV28,S2 S9,63
2994,a,"ARSENICAL PESTICIDE, LIQUID,TOXIC",,"含砷农药,液体的,有毒的",,T6,6.1,6.1,I,0,61 274 648,E5,P001,MP8 MP17,,T14,L10CH,TP2 TP27,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,66
2994,b,"ARSENICAL PESTICIDE, LIQUID,TOXIC",,"含砷农药,液体的,有毒的",,T6,6.1,6.1,II,100mL,61 274 648,E4,P001 IBC02,MP15,,T11,L4BH,TP2 TP27,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
