TariffCode,AttributeName,AttributeValue
2932999070,COMMODITYTYPE,DGC
2932999099,COMMODITYTYPE,DGC
2933199011,COMMODITYTYPE,DGC
2933199090,COMMODITYTYPE,DGC
2933290090,COMMODITYTYPE,DGC
2933310010,COMMODITYTYPE,DGC
2933321000,COMMODITYTYPE,DGC
2933330011,COMMODITYTYPE,DGC
2933399022,COMMODITYTYPE,DGC
2933399025,COMMODITYTYPE,DGC
2933399099,COMMODITYTYPE,DGC
2933490090,COMMODITYTYPE,DGC
2933599017,COMMODITYTYPE,DGC
2933599099,COMMODITYTYPE,DGC
2933691000,COMMODITYTYPE,DGC
2933692100,COMMODITYTYPE,DGC
2933692200,COMMODITYTYPE,DGC
2933699099,COMMODITYTYPE,DGC
2933790099,COMMODITYTYPE,DGC
2933990011,COMMODITYTYPE,DGC
2933990013,COMMODITYTYPE,DGC
2933990017,COMMODITYTYPE,DGC
2933990060,COMMODITYTYPE,DGC
2933990070,COMMODITYTYPE,DGC
2933990099,COMMODITYTYPE,DGC
2934999021,COMMODITYTYPE,DGC
2934999023,COMMODITYTYPE,DGC
2934999031,COMMODITYTYPE,DGC
2934999033,COMMODITYTYPE,DGC
2934999099,COMMODITYTYPE,DGC
2935100000,COMMODITYTYPE,DGC
2935200000,COMMODITYTYPE,DGC
2935300000,COMMODITYTYPE,DGC
2935400000,COMMODITYTYPE,DGC
2935900019,COMMODITYTYPE,DGC
2935900090,COMMODITYTYPE,DGC
2937900090,COMMODITYTYPE,DGC
2938909090,COMMODITYTYPE,DGC
2939791010,COMMODITYTYPE,DGC
2939791090,COMMODITYTYPE,DGC
2939792010,COMMODITYTYPE,DGC
2939799099,COMMODITYTYPE,DGC
2940009000,COMMODITYTYPE,DGC
2941905910,COMMODITYTYPE,DGC
2941909091,COMMODITYTYPE,DGC
2941909099,COMMODITYTYPE,DGC
2942000000,COMMODITYTYPE,DGC
3002901000,COMMODITYTYPE,DGC
3002909099,COMMODITYTYPE,DGC
3102300000,COMMODITYTYPE,DGC
3102500000,COMMODITYTYPE,DGC
3102800000,COMMODITYTYPE,DGC
3102901000,COMMODITYTYPE,DGC
3102909000,COMMODITYTYPE,DGC
3105200010,COMMODITYTYPE,DGC
3105200090,COMMODITYTYPE,DGC
3105510000,COMMODITYTYPE,DGC
3105590000,COMMODITYTYPE,DGC
3105901000,COMMODITYTYPE,DGC
3105909000,COMMODITYTYPE,DGC
3204909000,COMMODITYTYPE,DGC
3206200000,COMMODITYTYPE,DGC
3207100000,COMMODITYTYPE,DGC
3208100010,COMMODITYTYPE,DGC
3208100090,COMMODITYTYPE,DGC
3208201011,COMMODITYTYPE,DGC
3208201019,COMMODITYTYPE,DGC
3208201091,COMMODITYTYPE,DGC
3208201099,COMMODITYTYPE,DGC
3208202010,COMMODITYTYPE,DGC
3208202090,COMMODITYTYPE,DGC
3208901011,COMMODITYTYPE,DGC
3208901019,COMMODITYTYPE,DGC
3208901091,COMMODITYTYPE,DGC
3208901099,COMMODITYTYPE,DGC
3208909010,COMMODITYTYPE,DGC
3208909090,COMMODITYTYPE,DGC
3210000011,COMMODITYTYPE,DGC
3210000019,COMMODITYTYPE,DGC
3210000091,COMMODITYTYPE,DGC
